scrape_timestamp_utc,listing_id,property_type,record_source,listing_type,country,municipality,city,district,neighbourhood,microdistrict,sector,local_area,street,house_number,full_address,title_lt,title_en,description_lt,description_en,price_eur,price_per_sqm_eur,original_price_eur,price_change_eur,price_change_percent,currency,listing_created_date,listing_updated_date,listing_age_days,seller_type,advertiser_name,agency_name,listing_status,source_search_url,source_page_number,search_position,views_count,saved_by_users_count,latitude,longitude,coordinate_source,coordinate_precision,image_count,image_urls,virtual_tour_url,video_url,rooms,bedrooms,bathrooms,total_area_sqm,living_area_sqm,usable_area_sqm,plot_area_original,plot_area_unit,plot_area_sqm,plot_area_ares,floor,total_floors,building_type,house_type,construction_year,renovation_year,completion_percent,condition,furnishing,energy_class,heating_type,water_supply,sewerage,electricity,gas,parking,garage,balcony,terrace,basement,storage,lift,orientation,security_features,ownership_type,cadastral_or_legal_notes,all_features_json,raw_attributes_json,apartment_number,apartment_total_area_sqm,apartment_layout,window_orientation,building_renovation_status,building_renovation_year,building_administration_information,house_total_area_sqm,basement_area_sqm,garage_area_sqm,number_of_floors,outbuildings,access_road,plot_purpose,additional_land_features,diagnostic_warnings,listing_url,canonical_url
2026-08-26T15:07:17.737070+00:00,5-73079,house,detail,rent,Lithuania,Vilnius,Vilnius,Antakalnis,Antakalnis,,,Antakalnis,Šalpusnių g.,,"Vilnius, Antakalnis, Šalpusnių g.","Namas nuomai, Vilniuje Antakalnyje Šalpusnių g., mūrinis sublokuotas namas nuomai",,"Namas 2007 m. statybos. Mylintiems gamtą ir norintiems pabėgti nuo miesto šurmulio, netoli Saulėtekio universitetų Tvarkinga, graži namo aplinka, galima naudotis kiemo teritorija, yra lauko baldai, šašlykinė. Apšviesta ir aptverta teritorija, parkavimas dviem automobiliams. Rami aplinka. Namas išnuomojamas su baldais ir buitine technika. Nuomos kaina - 840 Eur.+ komunaliniai mokesčiai. Su gyvūnais namas nenuomojamas.",,840.0,8.8,,,,EUR,2026-07-04,2026-08-17,53,,,,active,https://www.aruodas.lt/namu-nuoma/vilniuje/,1,1,10616,82,54.721617,25.398973,embedded_script,,4,"[""https://aruodas-img.dgn.lt/object_67_98297707/vilnius-antakalnis-salpusniu-g.jpg"",""https://aruodas-img.dgn.lt/object_67_98297709/vilnius-antakalnis-salpusniu-g.jpg"",""https://aruodas-img.dgn.lt/object_67_111386243/vilnius-antakalnis-salpusniu-g.jpg"",""https://aruodas-img.dgn.lt/object_67_111386201/vilnius-antakalnis-salpusniu-g.jpg""]",,,4,,,95.0,,,3 a,a,300.0,3.0,,2,brick,terraced_house,2002,,,fully_finished,,,Dujinis,"Artezinis gręžinys, miesto vandentiekis",,,,,,,true,,,,,"[""Aptverta teritorija""]",,,"{""fenced_area"":true,""paved_access"":true,""terrace"":true}","{""Artimiausias vandens telkinys"":""Tvenkinys"",""Aukštų sk."":""2"",""Iki vandens telkinio (m)"":""50"",""Kaina mėn."":""840 €"",""Kambarių sk."":""4"",""Metai"":""2002"",""Namo tipas"":""Sublokuotas namas"",""Pastato tipas"":""Mūrinis"",""Plotas"":""95 m²"",""Sklypo plotas"":""3 a"",""Vanduo"":""Artezinis gręžinys, miesto vandentiekis"",""Įrengimas"":""Įrengtas"",""Šildymas"":""Dujinis""}",,,,,,,,95.0,,,2,,,,,[],https://www.aruodas.lt/namu-nuoma-vilniuje-antakalnyje-salpusniu-g-namas-m-statybos-mylintiems-gamta-ir-5-73079/,https://www.aruodas.lt/namu-nuoma-vilniuje-antakalnyje-salpusniu-g-namas-m-statybos-mylintiems-gamta-ir-5-73079/
2026-08-26T15:05:55.260676+00:00,5-95859,house,search,rent,Lithuania,,vilnius,Lazdynėliai,,,,,Lazdynėlių g.,,,"Lazdynėliai, Lazdynėlių g., mūrinis sublokuotas namas nuomai",,,,1600.0,17.78,,,,EUR,,,,,,,active,https://www.aruodas.lt/namu-nuoma/vilniuje/,1,2,,,,,,,4,"[""https://aruodas-img.dgn.lt/object_67_134276967/vilnius-lazdyneliai-lazdyneliu-g.jpg"",""https://aruodas-img.dgn.lt/object_67_134276969/vilnius-lazdyneliai-lazdyneliu-g.jpg"",""https://aruodas-img.dgn.lt/object_67_134276971/vilnius-lazdyneliai-lazdyneliu-g.jpg"",""https://aruodas-img.dgn.lt/object_67_134276973/vilnius-lazdyneliai-lazdyneliu-g.jpg""]",,,4,,,90.0,,,,,,,,,,,2024,,,,,,Dujinis,,,,,,,,,,,,,,,,{},{},,,,,,,,90.0,,,,,,,,[],https://www.aruodas.lt/namu-nuoma-vilniuje-lazdyneliuose-lazdyneliu-g-isnuomojamas-sviesus-ir-stilingai-irengtas-5-95859/,https://www.aruodas.lt/namu-nuoma-vilniuje-lazdyneliuose-lazdyneliu-g-isnuomojamas-sviesus-ir-stilingai-irengtas-5-95859/
2026-08-26T15:05:55.260676+00:00,5-95953,house,search,rent,Lithuania,,vilnius,Pavilnys,,,,,Jurgio Šlapelio g.,,,"Pavilnys, Jurgio Šlapelio g., mūrinis sublokuotas namas nuomai",,,,1400.0,14.14,,,,EUR,,,,,,,active,https://www.aruodas.lt/namu-nuoma/vilniuje/,1,3,,,,,,,4,"[""https://aruodas-img.dgn.lt/object_67_134420117/vilnius-pavilnys-jurgio-slapelio-g.jpg"",""https://aruodas-img.dgn.lt/object_67_134420119/vilnius-pavilnys-jurgio-slapelio-g.jpg"",""https://aruodas-img.dgn.lt/object_67_134420123/vilnius-pavilnys-jurgio-slapelio-g.jpg"",""https://aruodas-img.dgn.lt/object_67_134420127/vilnius-pavilnys-jurgio-slapelio-g.jpg""]",,,4,,,99.0,,,,,,,,,,,2017,,,,,,Dujinis,,,,,,,,,,,,,,,,{},{},,,,,,,,99.0,,,,,,,,[],https://www.aruodas.lt/namu-nuoma-vilniuje-pavilnyje-jurgio-slapelio-g-isnuomojamas-jaukus-sviesus-ir-patogiai-5-95953/,https://www.aruodas.lt/namu-nuoma-vilniuje-pavilnyje-jurgio-slapelio-g-isnuomojamas-jaukus-sviesus-ir-patogiai-5-95953/
2026-08-26T15:05:55.260676+00:00,5-95923,house,search,rent,Lithuania,,vilnius,Salininkai,,,,,Kuzmiškių g.,,,"Salininkai, Kuzmiškių g., mūrinis namas nuomai",,,,2000.0,18.69,,,,EUR,,,,,,,active,https://www.aruodas.lt/namu-nuoma/vilniuje/,1,4,,,,,,,4,"[""https://aruodas-img.dgn.lt/object_67_134359045/vilnius-salininkai-kuzmiskiu-g.jpg"",""https://aruodas-img.dgn.lt/object_67_134359043/vilnius-salininkai-kuzmiskiu-g.jpg"",""https://aruodas-img.dgn.lt/object_67_134359107/vilnius-salininkai-kuzmiskiu-g.jpg"",""https://aruodas-img.dgn.lt/object_67_134359047/vilnius-salininkai-kuzmiskiu-g.jpg""]",,,4,,,107.0,,,,,,,,,,,2025,,,,,,Aeroterminis,,,,,,,,,,,,,,,,{},{},,,,,,,,107.0,,,,,,,,[],https://www.aruodas.lt/namu-nuoma-vilniuje-salininkuose-kuzmiskiu-g-naujai-besikurianciame-gyvenamuju-namu-5-95923/,https://www.aruodas.lt/namu-nuoma-vilniuje-salininkuose-kuzmiskiu-g-naujai-besikurianciame-gyvenamuju-namu-5-95923/
2026-08-26T15:05:55.260676+00:00,5-95893,house,search,rent,Lithuania,,vilnius,Trakų Vokė,,,,,Aleksandro Strauso g.,,,"Trakų Vokė, Aleksandro Strauso g., blokinis namas nuomai",,,,1700.0,11.33,,,,EUR,,,,,,,active,https://www.aruodas.lt/namu-nuoma/vilniuje/,1,5,,,,,,,4,"[""https://aruodas-img.dgn.lt/object_67_134315381/vilnius-traku-voke-aleksandro-strauso-g.jpg"",""https://aruodas-img.dgn.lt/object_67_134315383/vilnius-traku-voke-aleksandro-strauso-g.jpg"",""https://aruodas-img.dgn.lt/object_67_134315385/vilnius-traku-voke-aleksandro-strauso-g.jpg"",""https://aruodas-img.dgn.lt/object_67_134315393/vilnius-traku-voke-aleksandro-strauso-g.jpg""]",,,4,,,150.0,,,,,,,,,,,2026,,,,,,Aeroterminis,,,,,,,,,,,,,,,,{},{},,,,,,,,150.0,,,,,,,,[],https://www.aruodas.lt/namu-nuoma-vilniuje-traku-vokeje-aleksandro-strauso-g-nuo-spalio-d-isnuomojamas-visiskai-naujas-5-95893/,https://www.aruodas.lt/namu-nuoma-vilniuje-traku-vokeje-aleksandro-strauso-g-nuo-spalio-d-isnuomojamas-visiskai-naujas-5-95893/
2026-08-26T15:05:55.260676+00:00,5-77104,house,search,rent,Lithuania,,vilnius,Balsiai,,,,,Žilvino g.,,,"Balsiai, Žilvino g., mūrinis sublokuotas namas nuomai",,,,1750.0,15.09,,,,EUR,,,,,,,active,https://www.aruodas.lt/namu-nuoma/vilniuje/,1,6,,,,,,,4,"[""https://aruodas-img.dgn.lt/object_67_134302659/vilnius-balsiai-zilvino-g.jpg"",""https://aruodas-img.dgn.lt/object_67_134302673/vilnius-balsiai-zilvino-g.jpg"",""https://aruodas-img.dgn.lt/object_67_105137312/vilnius-balsiai-zilvino-g.jpg"",""https://aruodas-img.dgn.lt/object_67_105137328/vilnius-balsiai-zilvino-g.jpg""]",,,,,,116.0,,,,,,,,,,,2015,,,,,,Dujinis,,,,,,,,,,,,,,,,{},{},,,,,,,,116.0,,,,,,,,[],https://www.aruodas.lt/namu-nuoma-vilniuje-balsiuose-zilvino-g-isnuomojamas-dvieju-aukstu-m-gyvenamo-5-77104/,https://www.aruodas.lt/namu-nuoma-vilniuje-balsiuose-zilvino-g-isnuomojamas-dvieju-aukstu-m-gyvenamo-5-77104/
2026-08-26T15:05:55.260676+00:00,5-95873,house,search,rent,Lithuania,,vilnius,Tarandė,,,,,Gailašių g.,,,"Tarandė, Gailašių g., mūrinis sublokuotas namas nuomai",,,,2190.0,14.7,,,,EUR,,,,,,,active,https://www.aruodas.lt/namu-nuoma/vilniuje/,1,7,,,,,,,4,"[""https://aruodas-img.dgn.lt/object_67_134411237/vilnius-tarande-gailasiu-g.jpg"",""https://aruodas-img.dgn.lt/object_67_134411243/vilnius-tarande-gailasiu-g.jpg"",""https://aruodas-img.dgn.lt/object_67_134411209/vilnius-tarande-gailasiu-g.jpg"",""https://aruodas-img.dgn.lt/object_67_134411109/vilnius-tarande-gailasiu-g.jpg""]",,,5,,,149.0,,,,,,,,,,,2023,,,,,,Dujinis,,,,,,,,,,,,,,,,{},{},,,,,,,,149.0,,,,,,,,[],https://www.aruodas.lt/namu-nuoma-vilniuje-tarandeje-gailasiu-g-isnuomojamas-puikiai-irengtas-sublokuotas-5-95873/,https://www.aruodas.lt/namu-nuoma-vilniuje-tarandeje-gailasiu-g-isnuomojamas-puikiai-irengtas-sublokuotas-5-95873/
2026-08-26T15:05:55.260676+00:00,5-95853,house,search,rent,Lithuania,,vilnius,Mažieji Gulbinai,,,,,Gulbinėlių g.,,,"Mažieji Gulbinai, Gulbinėlių g., blokinis namas nuomai",,,,1750.0,9.17,,,,EUR,,,,,,,active,https://www.aruodas.lt/namu-nuoma/vilniuje/,1,8,,,,,,,4,"[""https://aruodas-img.dgn.lt/object_67_134265667/vilnius-mazieji-gulbinai-gulbineliu-g.jpg"",""https://aruodas-img.dgn.lt/object_67_134265669/vilnius-mazieji-gulbinai-gulbineliu-g.jpg"",""https://aruodas-img.dgn.lt/object_67_134265671/vilnius-mazieji-gulbinai-gulbineliu-g.jpg"",""https://aruodas-img.dgn.lt/object_67_134265673/vilnius-mazieji-gulbinai-gulbineliu-g.jpg""]",,,4,,,190.8,,,,,,,,,,,2018,,,,,,Dujinis,,,,,,,,,,,,,,,,{},{},,,,,,,,190.8,,,,,,,,[],https://www.aruodas.lt/namu-nuoma-vilniuje-mazuosiuose-gulbinuose-gulbineliu-g-isskirtinis-namas-verkiu-parke-gyvenimui-ir-5-95853/,https://www.aruodas.lt/namu-nuoma-vilniuje-mazuosiuose-gulbinuose-gulbineliu-g-isskirtinis-namas-verkiu-parke-gyvenimui-ir-5-95853/
2026-08-26T15:05:55.260676+00:00,5-90612,house,search,rent,Lithuania,,vilnius,Visoriai,,,,,Pakalnio g.,,,"Visoriai, Pakalnio g., blokinis namas nuomai",,,,1600.0,10.19,,,,EUR,,,,,,,active,https://www.aruodas.lt/namu-nuoma/vilniuje/,1,9,,,,,,,4,"[""https://aruodas-img.dgn.lt/object_67_124776712/vilnius-visoriai-pakalnio-g.jpg"",""https://aruodas-img.dgn.lt/object_67_124776698/vilnius-visoriai-pakalnio-g.jpg"",""https://aruodas-img.dgn.lt/object_67_124776706/vilnius-visoriai-pakalnio-g.jpg"",""https://aruodas-img.dgn.lt/object_67_124776704/vilnius-visoriai-pakalnio-g.jpg""]",,,4,,,157.0,,,,,,,,,,,2003,,,,,,Dujinis,,,,,,,,,,,,,,,,{},{},,,,,,,,157.0,,,,,,,,[],https://www.aruodas.lt/namu-nuoma-vilniuje-visoriuose-pakalnio-g-nuomojamas-sviesus-siltas-ir-ekonomiskas-5-90612/,https://www.aruodas.lt/namu-nuoma-vilniuje-visoriuose-pakalnio-g-nuomojamas-sviesus-siltas-ir-ekonomiskas-5-90612/
2026-08-26T15:05:55.260676+00:00,5-95823,house,search,rent,Lithuania,,vilnius,Santariškės,,,,,Santariškių g.,,,"Santariškės, Santariškių g., blokinis namas nuomai",,,,1500.0,7.32,,,,EUR,,,,,,,active,https://www.aruodas.lt/namu-nuoma/vilniuje/,1,10,,,,,,,4,"[""https://aruodas-img.dgn.lt/object_67_134220363/vilnius-santariskes-santariskiu-g.jpg"",""https://aruodas-img.dgn.lt/object_67_134220359/vilnius-santariskes-santariskiu-g.jpg"",""https://aruodas-img.dgn.lt/object_67_134220361/vilnius-santariskes-santariskiu-g.jpg"",""https://aruodas-img.dgn.lt/object_67_134220365/vilnius-santariskes-santariskiu-g.jpg""]",,,4,,,205.0,,,,,,,,,,,2009,,,,,,Dujinis,,,,,,,,,,,,,,,,{},{},,,,,,,,205.0,,,,,,,,[],https://www.aruodas.lt/namu-nuoma-vilniuje-santariskese-santariskiu-g-nuomojamas-erdvus-namas-santariskiu-sirdyje-5-95823/,https://www.aruodas.lt/namu-nuoma-vilniuje-santariskese-santariskiu-g-nuomojamas-erdvus-namas-santariskiu-sirdyje-5-95823/
